Type,Method,Number of Coefficients
Dilute Horizontal,1,0
Dilute Horizontal,2,0
Dilute Horizontal,3,2
Dilute Horizontal,4,0
Dilute Horizontal,5,0
Dilute Horizontal,6,0
Dilute Horizontal,7,0
Dilute Horizontal,8,1
Dilute Horizontal,9,0
Dilute Horizontal,10,3
Dilute Horizontal,11,0
Dilute Horizontal,12,1
Dilute Horizontal,13,3
Dilute Horizontal,14,2
Dilute Horizontal,15,2
Dilute Horizontal,16,4
Dilute Horizontal,17,2
Dilute Horizontal,18,2
Dilute Horizontal,19,0
Dilute Horizontal,20,0
Dilute Horizontal,21,0
Dilute Horizontal,22,2
Dilute Horizontal,23,0
Dilute Horizontal,24,0
Dilute Horizontal,25,0
Dilute Horizontal,26,0
Dilute Horizontal,27,2
Dilute Horizontal,28,0
Dilute Horizontal,29,0
Dilute Horizontal,30,0
Dilute Horizontal,31,0
Dilute Horizontal,32,2
Dilute Horizontal,33,0
Dilute Horizontal,34,0
Dilute Horizontal,35,0
Dilute Horizontal,36,0
Dilute Horizontal,37,2
Dilute Horizontal,38,0
Dilute Horizontal,39,0
Dilute Horizontal,40,0
Dilute Horizontal,41,0
Dilute Horizontal,42,2
Dilute Horizontal,43,0
Dilute Horizontal,44,0
Dilute Horizontal,45,0
Dilute Horizontal,46,0
Dilute Horizontal,47,2
Dilute Horizontal,48,0
Dilute Horizontal,49,0
Dilute Horizontal,50,0
Dilute Horizontal,51,0
Dilute Horizontal,52,2
Dilute Horizontal,53,0
Dilute Horizontal,54,0
Dilute Horizontal,55,0
Dilute Horizontal,56,0
Dilute Horizontal,57,2
Dilute Horizontal,58,0
Dilute Horizontal,59,0
Dilute Horizontal,60,0
Dilute Horizontal,61,0
Dilute Horizontal,62,2
Dilute Horizontal,63,0
Dilute Horizontal,64,0
Dilute Horizontal,65,0
Dilute Horizontal,66,0
Dilute Horizontal,67,2
Dilute Horizontal,68,0
Dilute Horizontal,69,0
Dilute Horizontal,70,0
Dilute Horizontal,71,0
Dilute Horizontal,72,2
Dilute Horizontal,73,0
Dilute Horizontal,74,0
Dilute Horizontal,75,0
Dilute Horizontal,76,0
Dilute Horizontal,77,2
Dilute Horizontal,78,0
Dilute Horizontal,79,0
Dilute Horizontal,80,1
Dilute Horizontal,81,1
Dilute Horizontal,82,3
Dilute Horizontal,83,1
Dilute Horizontal,84,1
Dilute Vertical,1,1
Dilute Vertical,2,3
Dilute Vertical,3,3
Dilute Vertical,4,2
Dilute Vertical,5,2
Dilute Vertical,6,0
Dilute Vertical,7,0
Dilute Vertical,8,0
Dilute Vertical,9,0
Dilute Vertical,10,1
Dilute Vertical,11,1
Dilute Vertical,12,3
Dilute Vertical,13,3
Dilute Vertical,14,3
Dilute Vertical,15,3
Dilute Vertical,16,2
Dilute Vertical,17,2
Dilute Vertical,18,0
Dilute Vertical,19,0
Dilute Vertical,20,0
Dilute Vertical,21,0
Dilute Vertical,22,1
Dilute Vertical,23,1
Dilute Vertical,24,1
Dilute Vertical,25,1
Dilute Bends,1,2
Dilute Bends,2,2
Dilute Bends,3,3
Dilute Bends,4,3
Dilute Bends,5,0
Dilute Bends,6,0
Dilute Bends,7,2
Dilute Bends,8,1
Dilute Bends,9,0
Dilute Bends,10,0
Dilute Bends,11,2
Dilute Bends,12-95,0,Dilute Horizontal
Dilute Bends,96-120,0,Dilute Vertical
Dilute Acceleration,1,0
Dilute Acceleration,2,0
Dilute Acceleration,3,2
Dilute Acceleration,4,0
Dilute Acceleration,5,0
Dilute Acceleration,6,0
Dilute Acceleration,7,0
Dilute Acceleration,8,2
Dilute Acceleration,9,0
Dilute Acceleration,10,0
Dilute Acceleration,11,0
Dilute Acceleration,12,0
Dilute Acceleration,13,2
Dilute Acceleration,14,0
Dilute Acceleration,15,0
Dilute Acceleration,16,0
Dilute Acceleration,17,0
Dilute Acceleration,18,0
Dilute Acceleration,19,0
Dilute Acceleration,20,2
Dilute Acceleration,21,0
Dilute Acceleration,22,0
Dense Horizontal,1,4
Dense Horizontal,2,9
Dense Horizontal,3,1
Dense Horizontal,4,1
Dense Horizontal,5,3
Dense Horizontal,6,1
Dense Horizontal,7,2
Dense Horizontal,8,1
Dense Horizontal,9,0
Dense Horizontal,10,2
Dense Horizontal,11,2
Dense Horizontal,12,4
Dense Horizontal,13,2
Dense Horizontal,14,3
Dense Horizontal,15,2
Dense Horizontal,16,3
Dense Horizontal,17,0
Dense Horizontal,18,0
Dense Horizontal,19,0
Dense Horizontal,20,2
Dense Horizontal,21,0
Dense Horizontal,22,1
Dense Horizontal,23,0
Dense Horizontal,24,8
Dense Horizontal,25,1
Dense Horizontal,26,3
Dense Horizontal,27,3
Dense Horizontal,28,2
Dense Horizontal,29,2
Dense Horizontal,30,4
Dense Horizontal,31,2
Dense Horizontal,32,3
Dense Horizontal,33,2
Dense Horizontal,34,1
Dense Horizontal,35,1
Dense Horizontal,36,3
Dense Horizontal,37,1
Dense Horizontal,38,2
Dense Horizontal,39,1
Dense Vertical,1,4
Dense Vertical,2,9
Dense Vertical,3,1
Dense Vertical,4,1
Dense Vertical,5,2
Dense Vertical,6,2
Dense Vertical,7,3
Dense Vertical,8,0
Dense Vertical,9,0
Dense Vertical,10,0
Dense Vertical,11,0
Dense Vertical,12,0
Dense Vertical,13,1
Dense Vertical,14,8
Dense Vertical,15,4
Dense Vertical,16,4
Dense Vertical,17,9
Dense Vertical,18,9
Dense Vertical,19,1
Dense Vertical,20,1
Dense Vertical,21,2
Dense Vertical,22,2
Dense Vertical,23,3
Dense Vertical,24,3
Dense Vertical,25,0
Dense Vertical,26,0
Dense Vertical,27,0
Dense Vertical,28,0
Dense Vertical,29,8
Dense Vertical,30,8
Dense Vertical,31,1
Dense Vertical,32,3
Dense Vertical,33,3
Dense Vertical,34,2
Dense Vertical,35,2
Dense Vertical,36,1
Dense Vertical,37,1
Dense Vertical,38,3
Dense Vertical,39,3
Dense Vertical,40,3
Dense Vertical,41,3
Dense Vertical,42,2
Dense Vertical,43,2
Dense Vertical,44,1
Dense Vertical,45,1
Dense Vertical,46,1
Dense Vertical,47,1
Dense Bends,1,5
Dense Bends,2,5
Dense Bends,3,5
Dense Bends,4,0
Dense Bends,5,2
Dense Bends,6,2
Dense Bends,7,2
Dense Bends,8,3
Dense Bends,9,3
Dense Bends,10,3
Dense Bends,11,2
Dense Bends,12,1
Dense Bends,13,2
Dense Bends,14-52,0,Dense Horizontal
Dense Bends,53-99,0,Dense Vertical
Dense Acceleration,1,0
Dense Acceleration,2,0
Dense Acceleration,3,2
Dense Acceleration,4,0
Dense Acceleration,5,1
Dense Acceleration,6,0
Dense Acceleration,7,0
Dense Acceleration,8,0
Dense Acceleration,9,2
Dense Acceleration,10,0
Dense Acceleration,11,1
Dense Acceleration,12,0
